CustomerID,recency,purchase_cnt,user_total,user_average,item_cnt,average_interval,total_transactions,cancel_frequency,cancel_rate
14733,9,15,9452,630,3725,1.64,15,3,0.2
12590,190,2,9338,4669,4278,0.29,2,1,0.5
16523,1,28,9296,332,4233,1.01,28,7,0.25
14667,10,27,9161,339,5315,0.61,27,2,0.07
14367,8,19,9134,481,4398,0.5,19,3,0.16
12744,56,4,9120,2280,5234,1.22,4,0,0
18092,2,12,9066,756,4250,4.02,12,1,0.08
12709,3,26,8960,345,3792,1.41,26,11,0.42
13969,7,20,8957,448,4469,0.56,20,2,0.1
13488,17,17,8911,524,4512,0.81,17,4,0.24
12451,10,6,8894,1482,6454,0.88,6,1,0.17
16033,5,27,8690,322,3506,0.31,27,7,0.26
13090,8,17,8674,510,2193,2.25,17,4,0.24
17306,10,21,8601,410,11470,4.91,21,2,0.1
17017,2,27,8574,318,6613,1.34,27,7,0.26
16656,22,21,8568,408,8873,4.18,21,6,0.29
17243,1,30,8483,283,3308,0.92,30,4,0.13
14527,2,57,8478,149,2082,0.35,57,2,0.04
18139,17,6,8438,1406,5557,0,6,0,0
12567,22,11,8323,757,4045,0.76,11,1,0.09
16558,0,24,8257,344,5346,0.75,24,4,0.17
15358,4,29,8236,284,6928,0.63,29,7,0.24
16672,2,22,8120,369,2830,2.2,22,2,0.09
14936,9,9,8117,902,4083,0.72,9,1,0.11
14056,1,29,8063,278,4213,0.24,29,6,0.21
13854,8,29,8025,277,2278,3.05,29,4,0.14
14952,46,15,7913,528,3295,2.13,15,4,0.27
14849,21,28,7904,282,5656,0.89,28,3,0.11
18109,1,31,7877,254,4212,0.78,31,5,0.16
12435,79,2,7830,3915,2055,5.37,2,0,0
13629,23,11,7792,708,4372,5.34,11,0,0
14796,1,27,7791,289,5908,0.31,27,10,0.37
15290,4,21,7789,371,4430,1.64,21,3,0.14
13093,267,13,7741,595,3943,0.6,13,5,0.38
17811,4,51,7595,149,4096,0.36,51,12,0.24
15044,19,22,7564,344,2776,0.74,22,5,0.23
15194,3,22,7521,342,5648,1.1,22,7,0.32
18172,14,25,7490,300,3170,1.39,25,5,0.2
13263,1,34,7412,218,4761,0.18,34,0,0
12683,4,19,7357,387,4850,1.02,19,5,0.26
17396,39,7,7313,1045,2004,13.28,7,0,0
18229,11,20,7277,364,2488,2.15,20,0,0
13018,16,29,7273,251,5434,0.59,29,1,0.03
16745,86,18,7157,398,6711,0.61,18,1,0.06
12980,155,12,7092,591,864,8.52,12,3,0.25
13324,32,12,7073,589,5200,4.26,12,2,0.17
16873,4,10,7066,707,3825,1.23,10,4,0.4
16729,36,26,7045,271,5706,0.3,26,5,0.19
13985,4,16,7025,439,3437,0.72,16,1,0.06
14961,10,12,7007,584,3692,1.09,12,3,0.25
12798,10,3,6977,2326,5256,22.86,3,0,0
15465,19,24,6945,289,1217,3.31,24,6,0.25
13027,113,6,6912,1152,17280,9.52,6,0,0
12989,3,19,6855,361,2915,5.3,19,4,0.21
16187,31,17,6841,402,5004,0.83,17,2,0.12
17416,29,9,6838,760,4266,0.92,9,2,0.22
16713,18,21,6828,325,4259,0.54,21,6,0.29
12830,37,6,6815,1136,9848,3.54,6,0,0
16532,17,3,6749,2250,2016,106.67,3,0,0
15601,11,17,6745,397,4978,0.85,17,3,0.18
18055,7,11,6729,612,2447,0.99,11,1,0.09
13576,10,20,6703,335,2640,2.74,20,2,0.1
16746,4,19,6677,351,4657,0.77,19,1,0.05
16353,3,23,6676,290,2006,3.84,23,0,0
15023,3,12,6662,555,2810,0.66,12,1,0.08
15249,31,15,6657,444,3557,0.62,15,2,0.13
16652,53,11,6654,605,3267,1.78,11,4,0.36
12583,2,17,6629,390,4978,1.56,17,2,0.12
16182,72,4,6618,1655,3791,8.19,4,0,0
15144,8,18,6530,363,3026,1.36,18,1,0.06
16923,12,26,6488,250,3110,0.52,26,7,0.27
12766,3,7,6458,923,3627,1.18,7,0,0
17338,17,10,6456,646,3040,0.47,10,2,0.2
12474,17,30,6435,215,4715,0.77,30,12,0.4
15694,0,14,6409,458,1664,4.75,14,1,0.07
16814,14,22,6398,291,2690,1.08,22,1,0.05
13871,22,14,6390,456,2801,0.83,14,1,0.07
12428,25,11,6366,579,3477,0.87,11,3,0.27
15482,15,15,6354,424,2981,2.73,15,4,0.27
13102,1,27,6336,235,4160,1.15,27,3,0.11
12705,15,13,6328,487,3946,0.98,13,5,0.38
18223,1,26,6318,243,2891,1.15,26,12,0.46
16126,29,4,6288,1572,2125,2.29,4,0,0
12431,35,18,6244,347,2839,1.41,18,3,0.17
13709,3,17,6229,366,3493,0.89,17,4,0.24
12357,33,1,6208,6208,2708,0,1,0,0
12359,7,6,6183,1031,1599,1.28,6,2,0.33
13668,2,29,6162,212,3617,0.71,29,8,0.28
15005,15,35,6159,176,4186,0.29,35,7,0.2
17315,0,41,6153,150,3805,0.7,41,5,0.12
14057,23,18,6141,341,4705,1.13,18,1,0.06
14060,4,20,6135,307,5374,1.77,20,1,0.05
15939,89,15,6087,406,4724,3.15,15,1,0.07
13225,3,8,6083,760,3352,10.76,8,1,0.13
17509,57,11,6069,552,3508,0.01,11,3,0.27
14101,73,6,5977,996,6942,7.35,6,0,0
15382,14,8,5928,741,4003,0.91,8,2,0.25
13097,32,14,5901,422,2339,0.74,14,4,0.29
13418,11,23,5845,254,3839,1.13,23,5,0.22
14944,29,14,5843,417,2801,1.87,14,2,0.14
13209,30,11,5820,529,4232,1,11,3,0.27
14735,3,33,5793,176,2159,1.69,33,2,0.06
12637,67,9,5790,643,2974,0.66,9,1,0.11
14505,17,11,5772,525,2723,0.43,11,3,0.27
14415,1,18,5767,320,2958,0.59,18,5,0.28
15218,10,11,5757,523,3329,1.85,11,0,0
17686,7,7,5739,820,2478,1.03,7,0,0
13316,37,4,5733,1433,5508,2.54,4,0,0
12472,30,13,5725,440,3992,0.87,13,6,0.46
13178,26,11,5725,520,3570,1.25,11,0,0
12626,23,13,5722,440,3313,1,13,4,0.31
13050,9,28,5681,203,3706,0.81,28,11,0.39
14110,3,13,5670,436,2443,1.66,13,1,0.08
16553,163,14,5665,405,4595,2.34,14,2,0.14
13468,1,41,5657,138,2581,1.15,41,4,0.1
12476,1,20,5629,281,2286,1.39,20,9,0.45
13534,2,43,5613,131,2876,0.99,43,18,0.42
13004,11,22,5613,255,4796,0.82,22,4,0.18
17049,2,11,5590,508,2666,0.84,11,2,0.18
12839,2,15,5588,373,3805,1.15,15,1,0.07
16767,30,11,5576,507,4423,1.29,11,0,0
17757,1,31,5570,180,3313,0.48,31,1,0.03
12539,22,4,5568,1392,2067,1.14,4,0,0
18118,10,31,5565,180,2848,0.27,31,5,0.16
15502,15,19,5549,292,3825,1.44,19,9,0.47
14049,16,6,5536,923,3784,0.61,6,2,0.33
17716,22,12,5506,459,3004,0.96,12,1,0.08
16985,17,11,5462,497,1830,2.81,11,1,0.09
16609,15,9,5451,606,2410,0.84,9,2,0.22
15805,23,20,5412,271,3317,1.11,20,3,0.15
17719,37,18,5368,298,2455,0.75,18,3,0.17
18225,3,17,5357,315,3204,1.28,17,5,0.29
17809,16,14,5345,382,2016,5.69,14,2,0.14
16265,9,11,5323,484,2625,1.37,11,2,0.18
13269,1,17,5313,313,3508,1.14,17,2,0.12
16161,1,25,5310,212,2522,0.72,25,6,0.24
16303,25,4,5306,1327,2621,1.84,4,1,0.25
17850,302,35,5303,152,1696,0.22,35,1,0.03
17730,3,15,5289,353,3567,1.45,15,2,0.13
15150,17,11,5281,480,3617,0.73,11,1,0.09
16258,45,5,5204,1041,2994,1.28,5,0,0
18226,38,14,5192,371,3459,1.2,14,3,0.21
15727,16,7,5159,737,3063,1.13,7,0,0
16701,8,18,5150,286,6211,2.27,18,5,0.28
13756,2,15,5145,343,3164,2.52,15,1,0.07
17858,5,12,5141,428,2694,1.83,12,0,0
15903,9,8,5126,641,2409,3.8,8,1,0.13
17061,73,12,5116,426,1484,1.54,12,1,0.08
18198,4,21,5083,242,3839,1.95,21,4,0.19
12720,2,28,5065,181,4618,1.03,28,3,0.11
14688,7,27,5056,187,3185,1.01,27,6,0.22
13139,16,8,5056,632,2418,1.39,8,1,0.13
16700,8,17,5040,296,4019,1.13,17,4,0.24
13599,1,33,5029,152,3169,1.35,33,12,0.36
15719,32,14,5027,359,2716,0.32,14,1,0.07
17426,4,7,5022,717,3082,1.02,7,1,0.14
15301,50,14,5008,358,2744,1.27,14,2,0.14
17602,2,8,5002,625,4100,0.57,8,2,0.25
12481,22,11,4998,454,3248,1.63,11,1,0.09
14755,9,12,4965,414,2217,1.35,12,1,0.08
15046,9,16,4922,308,3227,1.61,16,1,0.06
16191,2,24,4917,205,3204,2.34,24,11,0.46
13941,21,7,4912,702,2307,7.54,7,2,0.29
15547,7,14,4911,351,3999,0.5,14,0,0
14709,15,14,4911,351,2482,1.72,14,1,0.07
17133,15,7,4892,699,2730,9.54,7,0,0
14329,8,14,4889,349,3067,1.18,14,7,0.5
12688,113,1,4874,4874,3028,0,1,0,0
12490,5,10,4860,486,3033,1.37,10,0,0
15786,43,5,4821,964,3307,0.25,5,2,0.4
14292,7,14,4819,344,1643,2.93,14,5,0.36
15738,18,19,4789,252,2967,1.97,19,3,0.16
13013,1,15,4787,319,2217,1.65,15,2,0.13
17365,12,8,4762,595,4737,0.68,8,0,0
15555,12,20,4746,237,4369,0.39,20,4,0.2
12955,1,14,4734,338,3642,1.43,14,3,0.21
17690,30,16,4717,295,1763,1.32,16,1,0.06
16722,17,16,4711,294,4989,1.51,16,3,0.19
17652,25,18,4692,261,2476,0.93,18,6,0.33
14135,1,15,4690,313,3850,2.75,15,0,0
15152,9,16,4684,293,2694,0.61,16,3,0.19
14562,3,22,4683,213,1666,0.67,22,4,0.18
12362,3,13,4666,359,2180,1.09,13,3,0.23
14191,1,14,4660,333,3657,0.81,14,1,0.07
15187,1,17,4655,274,1868,2.24,17,2,0.12
14180,10,31,4641,150,710,1.41,31,6,0.19
14159,19,14,4613,330,4332,0.29,14,3,0.21
14189,2,24,4604,192,3919,1.29,24,9,0.38
14286,23,5,4596,919,4306,0.76,5,2,0.4
14004,43,7,4583,655,2668,1.43,7,0,0
14390,10,13,4582,352,2122,1.25,13,4,0.31
16931,5,21,4555,217,3134,0.4,21,0,0
15291,25,19,4552,240,2073,3.18,19,5,0.26
12700,7,4,4526,1132,2944,0.78,4,0,0
17068,12,22,4525,206,2149,1.18,22,1,0.05
17613,22,17,4495,264,2464,0.89,17,3,0.18
15032,256,5,4464,893,2668,2.04,5,2,0.4
17364,0,12,4437,370,2671,0.8,12,1,0.08
15093,18,9,4410,490,3733,3.16,9,3,0.33
14085,2,19,4409,232,3176,0.8,19,1,0.05
13267,2,27,4404,163,1939,1.59,27,8,0.3
12437,1,19,4393,231,2889,1.74,19,1,0.05
12664,8,9,4392,488,1188,11.48,9,0,0
15955,24,16,4390,274,2124,1.87,16,2,0.13
17975,15,14,4385,313,1547,1.18,14,1,0.07
16626,0,20,4380,219,2670,1.4,20,3,0.15
16984,78,5,4371,874,2365,0.12,5,3,0.6
12752,81,1,4367,4367,2262,0,1,0,0
12432,42,4,4359,1090,1800,1.22,4,0,0
16945,21,19,4346,229,2725,1.33,19,0,0
15874,63,9,4331,481,2506,1.6,9,2,0.22
18251,87,1,4315,4315,7824,0,1,0,0
12347,2,7,4310,616,2458,2,7,0,0
17937,8,7,4301,614,1754,8.38,7,0,0
12714,9,5,4295,859,3046,1.12,5,0,0
14016,154,5,4278,856,2123,1.26,5,1,0.2
14422,0,6,4264,711,2906,1.19,6,0,0
15034,15,11,4243,386,2402,0.85,11,3,0.27
14800,47,16,4228,264,3623,0.82,16,4,0.25
17419,11,14,4201,300,1872,1.7,14,2,0.14
12747,2,11,4196,381,1275,3.56,11,0,0
15971,17,12,4195,350,1716,8.79,12,0,0
12757,15,10,4162,416,2375,0.53,10,1,0.1
12536,7,2,4151,2076,2672,0.19,2,1,0.5
14525,8,13,4150,319,2615,1.21,13,4,0.31
12949,30,10,4143,414,2363,1,10,2,0.2
13384,30,9,4122,458,2415,0.94,9,2,0.22
17920,4,17,4108,242,2471,0.54,17,0,0
13988,19,9,4099,455,3025,0.97,9,3,0.33
13555,73,4,4099,1025,2636,0.96,4,0,0
15570,7,13,4093,315,2054,1.1,13,1,0.08
12444,21,5,4085,817,1130,0.87,5,0,0
12627,10,6,4083,681,2730,0.57,6,0,0
18041,11,22,4075,185,3749,0.77,22,1,0.05
16592,4,19,4073,214,2914,1.26,19,3,0.16
14092,7,17,4063,239,2061,1.66,17,3,0.18
16401,1,19,4063,214,3859,1.63,19,7,0.37
14401,4,14,4040,289,4505,1.91,14,1,0.07
16549,10,10,4035,404,2294,0.35,10,0,0
14534,2,25,4024,161,1904,0.57,25,7,0.28
12500,23,12,4023,335,2660,5.79,12,2,0.17
16670,16,17,4022,237,2524,1.28,17,6,0.35
17567,7,10,4013,401,2428,2.05,10,2,0.2
12378,129,1,4009,4009,2529,0,1,0,0
16186,22,13,3992,307,3008,1.58,13,1,0.08
17001,0,11,3990,363,2164,2.1,11,0,0
12957,4,12,3979,332,2531,1.36,12,4,0.33
15416,64,5,3974,795,2089,1.12,5,1,0.2
12867,26,10,3963,396,4261,0.61,10,3,0.3
13183,7,9,3958,440,2208,3.46,9,0,0
14547,3,9,3954,439,2629,0.13,9,1,0.11
12524,9,8,3946,493,3669,2.38,8,0,0
15529,22,12,3933,328,3447,0.51,12,1,0.08
17611,3,19,3925,207,2542,0.61,19,4,0.21
17769,12,12,3920,327,1845,0.99,12,2,0.17
14426,18,16,3919,245,2339,1.28,16,6,0.38
17593,3,6,3908,651,3083,1.63,6,1,0.17
13802,138,6,3906,651,2281,3.38,6,3,0.5
15299,67,7,3901,557,2942,43.29,7,1,0.14
14739,2,8,3899,487,3817,6.02,8,1,0.13
12484,35,6,3893,649,2160,0.87,6,2,0.33
14277,15,4,3893,973,1614,0.88,4,1,0.25
17651,11,14,3887,278,3100,0.67,14,4,0.29
17377,23,21,3883,185,2037,0.84,21,1,0.05
14291,1,12,3873,323,2748,1.14,12,1,0.08
12779,21,12,3869,322,1996,2.18,12,4,0.33
13999,10,15,3865,258,2231,1.64,15,3,0.2
15195,2,1,3861,3861,1404,0,1,0,0
15804,0,19,3849,203,2513,0.7,19,6,0.32
12841,4,26,3846,148,2646,0.82,26,1,0.04
12749,3,8,3818,477,1421,0.9,8,3,0.38
17091,2,10,3803,380,1743,1.84,10,1,0.1
13435,5,9,3794,422,2125,1.76,9,2,0.22
12712,22,17,3792,223,1019,2.68,17,4,0.24
16655,17,6,3790,632,2363,1.21,6,0,0
16327,14,6,3790,632,2524,1.12,6,0,0
15867,5,16,3789,237,2037,0.78,16,1,0.06
18073,114,13,3787,291,3088,1.11,13,1,0.08
15298,2,14,3774,270,2752,1.87,14,2,0.14
16168,10,28,3771,135,1888,3.55,28,1,0.04
13124,89,3,3756,1252,2119,1.21,3,0,0
17173,5,9,3756,417,1121,1.43,9,1,0.11
13523,33,6,3755,626,1745,1.89,6,1,0.17
16145,8,18,3742,208,3072,1.46,18,7,0.39
17238,2,17,3719,219,1807,0.65,17,0,0
13266,11,19,3718,196,4299,1.69,19,7,0.37
14364,108,8,3717,465,1967,1.46,8,0,0
13069,0,27,3713,138,5454,0.77,27,3,0.11
14282,3,15,3701,247,2656,2.34,15,0,0
16240,8,5,3694,739,1634,0.48,5,3,0.6
16253,66,2,3684,1842,3233,1.54,2,0,0
17819,71,8,3661,458,1027,6.17,8,1,0.13
13815,22,5,3655,731,2537,1.71,5,1,0.2
15845,17,10,3651,365,1918,2.27,10,2,0.2
15808,306,5,3641,728,1303,0.32,5,1,0.2
16440,7,5,3641,728,2018,0.73,5,0,0
16904,4,15,3635,242,1973,0.54,15,0,0
15379,169,8,3632,454,2293,0.94,8,1,0.13
13381,21,7,3627,518,2027,1.6,7,1,0.14
16570,8,15,3623,242,2050,2.62,15,5,0.33
13327,38,9,3618,402,1588,2.99,9,1,0.11
18079,45,4,3613,903,7347,1.57,4,0,0
15296,44,10,3610,361,1757,1.4,10,4,0.4
16712,9,11,3604,328,1727,0.6,11,0,0
13137,10,8,3603,450,2204,0.43,8,0,0
12449,22,4,3596,899,1523,0.88,4,0,0
13082,126,10,3595,360,4313,2.81,10,1,0.1
14132,2,12,3580,298,3366,0.89,12,1,0.08
16242,8,8,3575,447,1968,0.91,8,1,0.13
17203,35,6,3560,593,2846,0.16,6,0,0
15484,1,5,3559,712,3134,0.4,5,1,0.2
13426,0,11,3558,323,2225,2.25,11,1,0.09
12656,17,8,3551,444,1684,1.78,8,3,0.38
14503,3,6,3543,591,2004,1.06,6,0,0
15544,8,11,3543,322,3105,1.38,11,2,0.18
17491,1,11,3542,322,2012,3.3,11,1,0.09
17528,1,11,3540,322,2130,0.25,11,3,0.27
13552,66,16,3540,221,1386,2.04,16,4,0.25
13505,67,8,3523,440,2442,0.73,8,4,0.5
13953,7,7,3516,502,2724,18.05,7,0,0
12662,0,12,3511,293,2023,1.67,12,1,0.08
16131,51,6,3507,585,1802,2.42,6,0,0
13334,82,3,3502,1167,1764,0.84,3,0,0
15505,52,7,3497,500,2348,1.03,7,2,0.29
14040,40,14,3492,249,1515,1.22,14,2,0.14
17160,31,6,3488,581,2854,0.92,6,0,0
16458,2,18,3483,194,2154,1.74,18,0,0
14907,3,10,3479,348,1686,2.16,10,3,0.3
17230,264,11,3467,315,1553,1.31,11,3,0.27
13448,16,10,3461,346,1626,1.79,10,4,0.4
15410,84,8,3451,431,1200,1.43,8,0,0
16019,1,10,3450,345,1649,2.18,10,1,0.1
15129,50,11,3447,313,1794,2.84,11,0,0
14395,2,12,3444,287,1685,1.04,12,3,0.25
13536,1,7,3444,492,2126,0.4,7,0,0
15974,39,8,3430,429,2256,1.39,8,1,0.13
14221,42,10,3428,343,2190,1.52,10,1,0.1
12727,10,8,3426,428,2056,2.32,8,1,0.13
12370,51,4,3422,856,2349,1.88,4,0,0
13437,14,7,3408,487,1283,1.04,7,0,0
15981,24,8,3408,426,1866,2.96,8,0,0
17758,19,8,3408,426,2054,0.57,8,0,0
17669,42,7,3407,487,1916,3.03,7,0,0
17576,8,22,3400,155,1927,0.86,22,3,0.14
13993,32,12,3395,283,891,2.38,12,3,0.25
12429,9,4,3388,847,1538,3.82,4,0,0
13842,58,9,3386,376,1768,1.48,9,0,0
12562,8,7,3386,484,1757,1.17,7,0,0
13198,10,8,3384,423,2645,1.53,8,2,0.25
15228,66,5,3377,675,2252,1.81,5,1,0.2
17725,16,14,3371,241,2141,1.24,14,3,0.21
13014,2,16,3365,210,884,2.23,16,6,0.38
16011,8,16,3353,210,2035,1.68,16,0,0
16360,4,8,3350,419,2094,0.12,8,2,0.25
13015,53,5,3340,668,1609,1.11,5,0,0
15113,9,4,3339,835,2319,0.45,4,1,0.25
13148,29,17,3325,196,1818,0.97,17,5,0.29
16818,10,13,3318,255,2162,1,13,2,0.15
14227,26,15,3316,221,1811,1.39,15,5,0.33
16556,66,7,3314,473,1890,1.41,7,0,0
13373,60,3,3312,1104,1651,1.36,3,0,0
15676,9,5,3309,662,2230,1.28,5,2,0.4
14841,53,6,3296,549,1778,2.22,6,0,0
17183,7,8,3287,411,1264,1.25,8,2,0.25
12406,22,3,3281,1094,1809,1.5,3,1,0.33
17723,127,6,3276,546,792,9.44,6,0,0
16717,9,9,3263,363,1562,1.51,9,3,0.33
13952,211,3,3246,1082,1424,0.19,3,1,0.33
15764,81,10,3245,325,2036,1.03,10,4,0.4
12553,8,14,3238,231,1901,1.69,14,4,0.29
15622,3,16,3225,202,1552,1.28,16,7,0.44
13880,21,13,3220,248,1842,2.09,13,0,0
14702,1,18,3210,178,1429,1.03,18,1,0.06
12594,37,9,3208,356,1772,2.49,9,0,0
16107,17,7,3204,458,1176,5.4,7,0,0
15708,40,11,3201,291,1208,1.15,11,4,0.36
13868,7,2,3193,1597,1964,0.97,2,0,0
13758,11,7,3191,456,1844,3.09,7,0,0
14844,63,4,3190,798,1833,1.36,4,0,0
15443,1,8,3189,399,1636,0.84,8,1,0.13
17220,24,14,3188,228,1897,0.72,14,0,0
17050,96,6,3186,531,1595,0.65,6,0,0
14388,8,10,3172,317,1933,1.89,10,2,0.2
16837,31,12,3168,264,1562,1.28,12,1,0.08
16041,30,3,3166,1055,1584,22,3,0,0
17863,59,6,3160,527,2638,2.1,6,0,0
17685,16,7,3156,451,1907,2.8,7,0,0
12417,3,12,3156,263,1514,1.86,12,3,0.25
14145,46,5,3148,630,636,15.27,5,1,0.2
15632,15,10,3147,315,2049,1.45,10,2,0.2
15065,37,6,3136,523,1355,1.6,6,2,0.33
12569,2,33,3129,95,1741,1.5,33,1,0.03
13685,2,7,3119,446,5056,1.45,7,0,0
12668,7,6,3113,519,1560,2.13,6,2,0.33
14175,51,7,3108,444,1461,1.69,7,4,0.57
17672,43,4,3107,777,1672,2.32,4,2,0.5
13268,17,14,3106,222,3525,0.56,14,4,0.29
13135,196,1,3096,3096,4300,0,1,0,0
14235,10,6,3094,516,1947,3.13,6,1,0.17
12647,22,13,3094,238,1387,2.98,13,1,0.08
14099,16,12,3093,258,2177,1.33,12,1,0.08
13047,46,16,3089,193,1355,1.66,16,7,0.44
14257,51,6,3087,515,1677,2.5,6,1,0.17
13362,3,5,3085,617,1379,1.68,5,1,0.2
13869,123,4,3084,771,1709,0.77,4,0,0
17059,29,5,3080,616,1850,0.66,5,0,0
13742,16,14,3079,220,1107,0.95,14,2,0.14
17231,12,14,3078,220,1718,0.64,14,4,0.29
15491,95,7,3076,439,1623,0.9,7,1,0.14
12910,23,8,3075,384,1692,2.93,8,0,0
15998,36,6,3074,512,2028,0.64,6,1,0.17
12597,19,5,3067,613,2165,1.18,5,1,0.2
18272,2,7,3065,438,2044,1.43,7,1,0.14
16218,29,8,3055,382,2077,3.83,8,1,0.13
16940,52,3,3050,1017,2169,0.78,3,0,0
12643,128,6,3042,507,1788,11.88,6,0,0
16607,17,16,3039,190,2822,1.94,16,2,0.13
16709,84,5,3030,606,851,2.5,5,0,0
16678,2,15,3025,202,2370,1.63,15,3,0.2
13631,99,12,3022,252,460,15,12,1,0.08
